ANÁLISIS COMPLETO DE RAÍCES DIGITALES - PRIMOS DE SOPHIE GERMAIN
Límite de búsqueda: 100000
Total de primos encontrados: 1171
Fecha de análisis: 2025-07-30T12:21:28.334
================================================================================

TABLA COMPLETA DE RESULTADOS
----------------------------------------
p	2p+1	raíz(p)	raíz(2p+1)
----------------------------------------
2	5	2	5
3	7	3	7
5	11	5	2
11	23	2	5
23	47	5	2
29	59	2	5
41	83	5	2
53	107	8	8
83	167	2	5
89	179	8	8
113	227	5	2
131	263	5	2
173	347	2	5
179	359	8	8
191	383	2	5
233	467	8	8
239	479	5	2
251	503	8	8
281	563	2	5
293	587	5	2
359	719	8	8
419	839	5	2
431	863	8	8
443	887	2	5
491	983	5	2
509	1019	5	2
593	1187	8	8
641	1283	2	5
653	1307	5	2
659	1319	2	5
683	1367	8	8
719	1439	8	8
743	1487	5	2
761	1523	5	2
809	1619	8	8
911	1823	2	5
953	1907	8	8
1013	2027	5	2
1019	2039	2	5
1031	2063	5	2
1049	2099	5	2
1103	2207	5	2
1223	2447	8	8
1229	2459	5	2
1289	2579	2	5
1409	2819	5	2
1439	2879	8	8
1451	2903	2	5
1481	2963	5	2
1499	2999	5	2
1511	3023	8	8
1559	3119	2	5
1583	3167	8	8
1601	3203	8	8
1733	3467	5	2
1811	3623	2	5
1889	3779	8	8
1901	3803	2	5
1931	3863	5	2
1973	3947	2	5
2003	4007	5	2
2039	4079	5	2
2063	4127	2	5
2069	4139	8	8
2129	4259	5	2
2141	4283	8	8
2273	4547	5	2
2339	4679	8	8
2351	4703	2	5
2393	4787	8	8
2399	4799	5	2
2459	4919	2	5
2543	5087	5	2
2549	5099	2	5
2693	5387	2	5
2699	5399	8	8
2741	5483	5	2
2753	5507	8	8
2819	5639	2	5
2903	5807	5	2
2939	5879	5	2
2963	5927	2	5
2969	5939	8	8
3023	6047	8	8
3299	6599	5	2
3329	6659	8	8
3359	6719	2	5
3389	6779	5	2
3413	6827	2	5
3449	6899	2	5
3491	6983	8	8
3539	7079	2	5
3593	7187	2	5
3623	7247	5	2
3761	7523	8	8
3779	7559	8	8
3803	7607	5	2
3821	7643	5	2
3851	7703	8	8
3863	7727	2	5
3911	7823	5	2
4019	8039	5	2
4073	8147	5	2
4211	8423	8	8
4271	8543	5	2
4349	8699	2	5
4373	8747	8	8
4391	8783	8	8
4409	8819	8	8
4481	8963	8	8
4733	9467	8	8
4793	9587	5	2
4871	9743	2	5
4919	9839	5	2
4943	9887	2	5
5003	10007	8	8
5039	10079	8	8
5051	10103	2	5
5081	10163	5	2
5171	10343	5	2
5231	10463	2	5
5279	10559	5	2
5303	10607	2	5
5333	10667	5	2
5399	10799	8	8
5441	10883	5	2
5501	11003	2	5
5639	11279	5	2
5711	11423	5	2
5741	11483	8	8
5849	11699	8	8
5903	11807	8	8
6053	12107	5	2
6101	12203	8	8
6113	12227	2	5
6131	12263	2	5
6173	12347	8	8
6263	12527	8	8
6269	12539	5	2
6323	12647	5	2
6329	12659	2	5
6449	12899	5	2
6491	12983	2	5
6521	13043	5	2
6551	13103	8	8
6563	13127	2	5
6581	13163	2	5
6761	13523	2	5
6899	13799	5	2
6983	13967	8	8
7043	14087	5	2
7079	14159	5	2
7103	14207	2	5
7121	14243	2	5
7151	14303	5	2
7193	14387	2	5
7211	14423	2	5
7349	14699	5	2
7433	14867	8	8
7541	15083	8	8
7643	15287	2	5
7649	15299	8	8
7691	15383	5	2
7823	15647	2	5
7841	15683	2	5
7883	15767	8	8
7901	15803	8	8
8069	16139	5	2
8093	16187	2	5
8111	16223	2	5
8243	16487	8	8
8273	16547	2	5
8513	17027	8	8
8663	17327	5	2
8693	17387	8	8
8741	17483	2	5
8951	17903	5	2
8969	17939	5	2
9029	18059	2	5
9059	18119	5	2
9221	18443	5	2
9293	18587	5	2
9371	18743	2	5
9419	18839	5	2
9473	18947	5	2
9479	18959	2	5
9539	19079	8	8
9629	19259	8	8
9689	19379	5	2
9791	19583	8	8
10061	20123	8	8
10091	20183	2	5
10163	20327	2	5
10253	20507	2	5
10271	20543	2	5
10313	20627	8	8
10331	20663	8	8
10529	21059	8	8
10589	21179	5	2
10613	21227	2	5
10691	21383	8	8
10709	21419	8	8
10733	21467	5	2
10781	21563	8	8
10799	21599	8	8
10883	21767	2	5
11171	22343	2	5
11321	22643	8	8
11369	22739	2	5
11393	22787	8	8
11471	22943	5	2
11519	23039	8	8
11549	23099	2	5
11579	23159	5	2
11699	23399	8	8
11783	23567	2	5
11801	23603	2	5
11813	23627	5	2
11831	23663	5	2
11909	23819	2	5
11939	23879	5	2
12011	24023	5	2
12041	24083	8	8
12101	24203	5	2
12119	24239	5	2
12203	24407	8	8
12263	24527	5	2
12329	24659	8	8
12653	25307	8	8
12671	25343	8	8
12791	25583	2	5
12821	25643	5	2
12899	25799	2	5
12923	25847	8	8
12959	25919	8	8
13001	26003	5	2
13049	26099	8	8
13229	26459	8	8
13313	26627	2	5
13451	26903	5	2
13463	26927	8	8
13553	27107	8	8
13619	27239	2	5
13649	27299	5	2
13763	27527	2	5
13883	27767	5	2
13901	27803	5	2
13913	27827	8	8
14009	28019	5	2
14081	28163	5	2
14153	28307	5	2
14159	28319	2	5
14249	28499	2	5
14303	28607	2	5
14321	28643	2	5
14489	28979	8	8
14561	29123	8	8
14621	29243	5	2
14669	29339	8	8
14699	29399	2	5
14741	29483	8	8
14783	29567	5	2
14831	29663	8	8
14879	29759	2	5
14939	29879	8	8
15101	30203	8	8
15161	30323	5	2
15173	30347	8	8
15233	30467	5	2
15269	30539	5	2
15401	30803	2	5
15569	31139	8	8
15629	31259	5	2
15773	31547	5	2
15791	31583	5	2
15803	31607	8	8
15923	31847	2	5
16001	32003	8	8
16091	32183	8	8
16253	32507	8	8
16301	32603	2	5
16421	32843	5	2
16493	32987	5	2
16553	33107	2	5
16673	33347	5	2
16811	33623	8	8
16823	33647	2	5
16883	33767	8	8
16931	33863	2	5
17159	34319	5	2
17183	34367	2	5
17291	34583	2	5
17333	34667	8	8
17351	34703	8	8
17579	35159	2	5
17669	35339	2	5
17681	35363	5	2
17939	35879	2	5
17981	35963	8	8
18041	36083	5	2
18131	36263	5	2
18149	36299	5	2
18191	36383	2	5
18233	36467	8	8
18341	36683	8	8
18443	36887	2	5
18461	36923	2	5
18731	37463	2	5
18773	37547	8	8
18803	37607	2	5
18899	37799	8	8
19163	38327	2	5
19301	38603	5	2
19319	38639	5	2
19373	38747	5	2
19391	38783	5	2
19433	38867	2	5
19553	39107	5	2
19559	39119	2	5
19661	39323	5	2
19709	39419	8	8
19751	39503	5	2
19889	39779	8	8
19913	39827	5	2
19919	39839	2	5
19991	39983	2	5
20063	40127	2	5
20249	40499	8	8
20369	40739	2	5
20393	40787	8	8
20411	40823	8	8
20441	40883	2	5
20693	41387	2	5
20753	41507	8	8
20759	41519	5	2
20771	41543	8	8
20789	41579	8	8
20879	41759	8	8
20921	41843	5	2
20939	41879	5	2
